x: 0.000000	y: 5.066959	w: 4.000000
x: 0.200401	y: 4.906539	w: 4.080969
x: 0.400802	y: 5.721390	w: 4.163577
x: 0.601202	y: 5.207894	w: 4.247857
x: 0.801603	y: 5.282729	w: 4.333843
x: 1.002004	y: 4.148133	w: 4.421570
x: 1.202405	y: 3.579821	w: 4.511072
x: 1.402806	y: 4.344681	w: 4.602386
x: 1.603206	y: 4.596802	w: 4.695549
x: 1.803607	y: 4.977082	w: 4.790597
x: 2.004008	y: 4.515298	w: 4.887570
x: 2.204409	y: 3.897561	w: 4.986505
x: 2.404810	y: 4.137384	w: 5.087443
x: 2.605210	y: 4.469092	w: 5.190424
x: 2.805611	y: 4.706711	w: 5.295490
x: 3.006012	y: 4.066376	w: 5.402682
x: 3.206413	y: 3.987593	w: 5.512045
x: 3.406814	y: 4.219876	w: 5.623621
x: 3.607214	y: 3.895191	w: 5.737455
x: 3.807615	y: 3.791089	w: 5.853594
x: 4.008016	y: 4.342649	w: 5.972084
x: 4.208417	y: 3.902298	w: 6.092972
x: 4.408818	y: 3.894715	w: 6.216308
x: 4.609218	y: 3.606761	w: 6.342140
x: 4.809619	y: 3.701740	w: 6.470519
x: 5.010020	y: 3.917202	w: 6.601496
x: 5.210421	y: 3.871261	w: 6.735126
x: 5.410822	y: 3.528443	w: 6.871459
x: 5.611222	y: 3.722325	w: 7.010553
x: 5.811623	y: 4.290878	w: 7.152462
x: 6.012024	y: 3.625429	w: 7.297244
x: 6.212425	y: 3.569413	w: 7.444957
x: 6.412826	y: 3.578266	w: 7.595659
x: 6.613226	y: 2.678592	w: 7.749412
x: 6.813627	y: 3.761782	w: 7.906278
x: 7.014028	y: 3.508256	w: 8.066318
x: 7.214429	y: 3.407025	w: 8.229599
x: 7.414830	y: 3.697867	w: 8.396184
x: 7.615230	y: 3.955610	w: 8.566142
x: 7.815631	y: 3.249947	w: 8.739539
x: 8.016032	y: 3.745015	w: 8.916447
x: 8.216433	y: 3.910037	w: 9.096936
x: 8.416834	y: 3.042408	w: 9.281078
x: 8.617234	y: 3.045069	w: 9.468948
x: 8.817635	y: 3.883558	w: 9.660621
x: 9.018036	y: 2.897635	w: 9.856173
x: 9.218437	y: 3.700816	w: 10.055684
x: 9.418838	y: 3.553879	w: 10.259233
x: 9.619238	y: 2.974919	w: 10.466903
x: 9.819639	y: 2.967003	w: 10.678777
x: 10.020040	y: 3.409400	w: 10.894939
x: 10.220441	y: 2.917273	w: 11.115477
x: 10.420842	y: 2.955749	w: 11.340479
x: 10.621242	y: 3.174794	w: 11.570036
x: 10.821643	y: 3.067749	w: 11.804239
x: 11.022044	y: 2.906310	w: 12.043183
x: 11.222445	y: 3.239485	w: 12.286964
x: 11.422846	y: 2.828311	w: 12.535679
x: 11.623246	y: 3.006339	w: 12.789430
x: 11.823647	y: 2.332370	w: 13.048316
x: 12.024048	y: 2.675701	w: 13.312443
x: 12.224449	y: 2.804740	w: 13.581917
x: 12.424850	y: 2.664999	w: 13.856845
x: 12.625251	y: 2.515749	w: 14.137338
x: 12.825651	y: 2.269603	w: 14.423510
x: 13.026052	y: 3.054307	w: 14.715474
x: 13.226453	y: 2.688749	w: 15.013348
x: 13.426854	y: 2.944753	w: 15.317251
x: 13.627255	y: 2.703289	w: 15.627307
x: 13.827655	y: 2.357016	w: 15.943638
x: 14.028056	y: 2.805926	w: 16.266373
x: 14.228457	y: 2.250251	w: 16.595641
x: 14.428858	y: 2.618344	w: 16.931573
x: 14.629259	y: 2.212695	w: 17.274306
x: 14.829659	y: 2.361685	w: 17.623977
x: 15.030060	y: 2.711132	w: 17.980725
x: 15.230461	y: 2.427643	w: 18.344695
x: 15.430862	y: 3.083172	w: 18.716033
x: 15.631263	y: 2.700585	w: 19.094887
x: 15.831663	y: 2.663543	w: 19.481410
