x: 0.000000	log(Y): 1.805062	y: 6.080351
x: 0.502513	log(Y): 1.762016	y: 5.824169
x: 1.005025	log(Y): 1.904875	y: 6.718566
x: 1.507538	log(Y): 1.800144	y: 6.050521
x: 2.010050	log(Y): 1.803810	y: 6.072739
x: 2.512563	log(Y): 1.551517	y: 4.718622
x: 3.015075	log(Y): 1.393758	y: 4.029967
x: 3.517588	log(Y): 1.577081	y: 4.840805
x: 4.020101	log(Y): 1.623271	y: 5.069646
x: 4.522613	log(Y): 1.692635	y: 5.433781
x: 5.025126	log(Y): 1.585245	y: 4.880487
x: 5.527638	log(Y): 1.428210	y: 4.171226
x: 6.030151	log(Y): 1.478112	y: 4.384660
x: 6.532663	log(Y): 1.545529	y: 4.690450
x: 7.035176	log(Y): 1.587735	y: 4.892655
x: 7.537688	log(Y): 1.432009	y: 4.187104
x: 8.040201	log(Y): 1.403066	y: 4.067654
x: 8.542714	log(Y): 1.450418	y: 4.264896
x: 9.045226	log(Y): 1.361202	y: 3.900878
x: 9.547739	log(Y): 1.325074	y: 3.762463
x: 10.050251	log(Y): 1.451983	y: 4.271577
x: 10.552764	log(Y): 1.336260	y: 3.804787
x: 11.055276	log(Y): 1.325630	y: 3.764557
x: 11.557789	log(Y): 1.240256	y: 3.456498
x: 12.060302	log(Y): 1.257807	y: 3.517699
x: 12.562814	log(Y): 1.306064	y: 3.691615
x: 13.065327	log(Y): 1.286074	y: 3.618553
x: 13.567839	log(Y): 1.185284	y: 3.271617
x: 14.070352	log(Y): 1.230838	y: 3.424099
x: 14.572864	log(Y): 1.365172	y: 3.916398
x: 15.075377	log(Y): 1.188976	y: 3.283717
x: 15.577889	log(Y): 1.165859	y: 3.208677
x: 16.080402	log(Y): 1.160924	y: 3.192881
x: 16.582915	log(Y): 0.864059	y: 2.372773
x: 17.085427	log(Y): 1.196519	y: 3.308580
x: 17.587940	log(Y): 1.119741	y: 3.064061
x: 18.090452	log(Y): 1.083596	y: 2.955288
x: 18.592965	log(Y): 1.158787	y: 3.186066
x: 19.095477	log(Y): 1.219580	y: 3.385767
x: 19.597990	log(Y): 1.016642	y: 2.763897
x: 20.100503	log(Y): 1.152128	y: 3.164922
x: 20.603015	log(Y): 1.189094	y: 3.284106
x: 21.105528	log(Y): 0.932187	y: 2.540057
x: 21.608040	log(Y): 0.927197	y: 2.527415
x: 22.110553	log(Y): 1.164708	y: 3.204988
x: 22.613065	log(Y): 0.866283	y: 2.378056
x: 23.115578	log(Y): 1.105522	y: 3.020801
x: 23.618090	log(Y): 1.059739	y: 2.885618
x: 24.120603	log(Y): 0.876797	y: 2.403191
x: 24.623116	log(Y): 0.869166	y: 2.384921
x: 25.125628	log(Y): 1.003336	y: 2.727364
x: 25.628141	log(Y): 0.842787	y: 2.322831
x: 26.130653	log(Y): 0.851381	y: 2.342881
x: 26.633166	log(Y): 0.918518	y: 2.505575
x: 27.135678	log(Y): 0.880020	y: 2.410949
x: 27.638191	log(Y): 0.821917	y: 2.274857
x: 28.140704	log(Y): 0.926559	y: 2.525804
