T: 1.000000	M: 0.999290
T: 1.100000	M: 0.998440
T: 1.200000	M: 0.997052
T: 1.300000	M: 0.994786
T: 1.400000	M: 0.991435
T: 1.500000	M: 0.986605
T: 1.600000	M: 0.979643
T: 1.700000	M: 0.970437
T: 1.800000	M: 0.956623
T: 1.900000	M: 0.158693
T: 2.000000	M: -0.266334
T: 2.100000	M: -0.163197
T: 2.200000	M: -0.015512
T: 2.300000	M: 0.002613
T: 2.400000	M: 0.003730
T: 2.500000	M: -0.006282
T: 2.600000	M: -0.002413
T: 2.700000	M: 0.004083
T: 2.800000	M: 0.003532
T: 2.900000	M: -0.001716
T: 3.000000	M: 0.005639
T: 3.100000	M: -0.000774
T: 3.200000	M: 0.004285
T: 3.300000	M: -0.000774
T: 3.400000	M: -0.000076
T: 3.500000	M: -0.000557
T: 3.600000	M: -0.000640
T: 3.700000	M: -0.002315
T: 3.800000	M: -0.000421
T: 3.900000	M: 0.000039
T: 4.000000	M: 0.001901
T: 4.100000	M: 0.000048
T: 4.200000	M: -0.000531
T: 4.300000	M: -0.000008
T: 4.400000	M: -0.000860
T: 4.500000	M: 0.001416
T: 4.600000	M: 0.000029
T: 4.700000	M: -0.000953
T: 4.800000	M: -0.000145
T: 4.900000	M: 0.000682
