T: 1.000000	C: 0.023434
T: 1.100000	C: 0.038748
T: 1.200000	C: 0.068603
T: 1.300000	C: 0.099245
T: 1.400000	C: 0.142578
T: 1.500000	C: 0.196675
T: 1.600000	C: 0.263057
T: 1.700000	C: 0.345050
T: 1.800000	C: 0.440007
T: 1.900000	C: 0.566922
T: 2.000000	C: 0.730988
T: 2.100000	C: 0.902210
T: 2.200000	C: 1.140173
T: 2.300000	C: 1.290693
T: 2.400000	C: 1.299214
T: 2.500000	C: 1.128001
T: 2.600000	C: 0.950235
T: 2.700000	C: 0.733049
T: 2.800000	C: 0.634097
T: 2.900000	C: 0.501145
T: 3.000000	C: 0.443373
T: 3.100000	C: 0.375945
T: 3.200000	C: 0.345163
T: 3.300000	C: 0.305147
T: 3.400000	C: 0.274286
T: 3.500000	C: 0.249114
T: 3.600000	C: 0.228392
T: 3.700000	C: 0.210186
T: 3.800000	C: 0.195697
T: 3.900000	C: 0.181181
T: 4.000000	C: 0.175025
T: 4.100000	C: 0.163230
T: 4.200000	C: 0.151948
T: 4.300000	C: 0.138492
T: 4.400000	C: 0.136456
T: 4.500000	C: 0.126364
T: 4.600000	C: 0.120354
T: 4.700000	C: 0.114008
T: 4.800000	C: 0.105206
T: 4.900000	C: 0.104152
