t: 0.000000	: 0.000000	vx: 0.000000	vy: 449.951327
t: 0.500000	: 224.975663	vx: 268.115555	vy: 443.652008
t: 1.000000	: 446.801668	vx: 530.024992	vy: 437.561112
t: 1.500000	: 665.582223	vx: 785.886176	vy: 431.669001
t: 2.000000	: 881.416724	vx: 1035.849484	vy: 425.966624
t: 2.500000	: 1094.400036	vx: 1280.058259	vy: 420.445470
t: 3.000000	: 1304.622771	vx: 1518.649230	vy: 415.097529
t: 3.500000	: 1512.171536	vx: 1751.752895	vy: 409.915255
t: 4.000000	: 1717.129163	vx: 1979.493883	vy: 404.891531
t: 4.500000	: 1919.574929	vx: 2201.991287	vy: 400.019641
t: 5.000000	: 2119.584749	vx: 2419.358974	vy: 395.293239
t: 5.500000	: 2317.231369	vx: 2631.705869	vy: 390.706328
t: 6.000000	: 2512.584533	vx: 2839.136229	vy: 386.253230
t: 6.500000	: 2705.711148	vx: 3041.749889	vy: 381.928568
t: 7.000000	: 2896.675432	vx: 3239.642497	vy: 377.727247
t: 7.500000	: 3085.539055	vx: 3432.905732	vy: 373.644433
t: 8.000000	: 3272.361272	vx: 3621.627504	vy: 369.675535
t: 8.500000	: 3457.199039	vx: 3805.892150	vy: 365.816195
t: 9.000000	: 3640.107137	vx: 3985.780609	vy: 362.062265
t: 9.500000	: 3821.138269	vx: 4161.370590	vy: 358.409802
t: 10.000000	: 4000.343170	vx: 4332.736730	vy: 354.855049
t: 10.500000	: 4177.770694	vx: 4499.950739	vy: 351.394426
t: 11.000000	: 4353.467908	vx: 4663.081541	vy: 348.024521
t: 11.500000	: 4527.480168	vx: 4822.195403	vy: 344.742076
t: 12.000000	: 4699.851206	vx: 4977.356060	vy: 341.543982
t: 12.500000	: 4870.623197	vx: 5128.624826	vy: 338.427264
t: 13.000000	: 5039.836829	vx: 5276.060708	vy: 335.389082
t: 13.500000	: 5207.531370	vx: 5419.720505	vy: 332.426714
t: 14.000000	: 5373.744727	vx: 5559.658908	vy: 329.537556
t: 14.500000	: 5538.513505	vx: 5695.928590	vy: 326.719113
t: 15.000000	: 5701.873061	vx: 5828.580296	vy: 323.968989
t: 15.500000	: 5863.857556	vx: 5957.662921	vy: 321.284889
t: 16.000000	: 6024.500001	vx: 6083.223589	vy: 318.664608
t: 16.500000	: 6183.832305	vx: 6205.307730	vy: 316.106024
t: 17.000000	: 6341.885317	vx: 6323.959148	vy: 313.607101
t: 17.500000	: 6498.688867	vx: 6439.220087	vy: 311.165878
t: 18.000000	: 6654.271806	vx: 6551.131297	vy: 308.780466
t: 18.500000	: 6808.662039	vx: 6659.732089	vy: 306.449045
t: 19.000000	: 6961.886562	vx: 6765.060401	vy: 304.169862
t: 19.500000	: 7113.971493	vx: 6867.152844	vy: 301.941222
t: 20.000000	: 7264.942104	vx: 6966.044760	vy: 299.761491
t: 20.500000	: 7414.822850	vx: 7061.770270	vy: 297.629090
t: 21.000000	: 7563.637394	vx: 7154.362321	vy: 295.542489
t: 21.500000	: 7711.408639	vx: 7243.852733	vy: 293.500211
t: 22.000000	: 7858.158745	vx: 7330.272242	vy: 291.500825
t: 22.500000	: 8003.909157	vx: 7413.650543	vy: 289.542941
t: 23.000000	: 8148.680628	vx: 7494.016329	vy: 287.625216
t: 23.500000	: 8292.493236	vx: 7571.397329	vy: 285.746343
t: 24.000000	: 8435.366407	vx: 7645.820348	vy: 283.905053
t: 24.500000	: 8577.318933	vx: 7717.311300	vy: 282.100114
t: 25.000000	: 8718.368990	vx: 7785.895246	vy: 280.330328
t: 25.500000	: 8858.534154	vx: 7851.596423	vy: 278.594527
t: 26.000000	: 8997.831418	vx: 7914.438279	vy: 276.891575
t: 26.500000	: 9136.277205	vx: 7974.443504	vy: 275.220366
t: 27.000000	: 9273.887388	vx: 8031.634062	vy: 273.579819
t: 27.500000	: 9410.677297	vx: 8086.031215	vy: 271.968881
t: 28.000000	: 9546.661738	vx: 8137.655558	vy: 270.386523
t: 28.500000	: 9681.854999	vx: 8186.527042	vy: 268.831741
t: 29.000000	: 9816.270870	vx: 8232.665005	vy: 267.303553
t: 29.500000	: 9949.922647	vx: 8276.088194	vy: 265.800998
t: 30.000000	: 10082.823146	vx: 8316.814794	vy: 264.323137
t: 30.500000	: 10214.984714	vx: 8354.862453	vy: 262.869050
t: 31.000000	: 10346.419239	vx: 8390.248306	vy: 261.437837
t: 31.500000	: 10477.138158	vx: 8422.988998	vy: 260.028616
t: 32.000000	: 10607.152466	vx: 8453.100708	vy: 258.640524
t: 32.500000	: 10736.472728	vx: 8480.599175	vy: 257.272713
t: 33.000000	: 10865.109085	vx: 8505.499717	vy: 255.924355
t: 33.500000	: 10993.071262	vx: 8527.817256	vy: 254.594636
t: 34.000000	: 11120.368580	vx: 8547.566339	vy: 253.282759
t: 34.500000	: 11247.009960	vx: 8564.761159	vy: 251.987943
t: 35.000000	: 11373.003931	vx: 8579.415577	vy: 250.709424
t: 35.500000	: 11498.358643	vx: 8591.543142	vy: 249.446450
t: 36.000000	: 11623.081868	vx: 8601.157113	vy: 248.198288
t: 36.500000	: 11747.181012	vx: 8608.270478	vy: 246.964217
t: 37.000000	: 11870.663121	vx: 8612.895975	vy: 245.743535
t: 37.500000	: 11993.534888	vx: 8615.046109	vy: 244.535553
t: 38.000000	: 12115.802665	vx: 8614.733175	vy: 243.339596
t: 38.500000	: 12237.472463	vx: 8611.969270	vy: 242.155007
t: 39.000000	: 12358.549967	vx: 8606.766320	vy: 240.981144
t: 39.500000	: 12479.040539	vx: 8599.136092	vy: 239.817379
t: 40.000000	: 12598.949228	vx: 8589.090213	vy: 238.663102
t: 40.500000	: 12718.280779	vx: 8576.640186	vy: 237.517717
t: 41.000000	: 12837.039638	vx: 8561.797408	vy: 236.380646
t: 41.500000	: 12955.229961	vx: 8544.573188	vy: 235.251325
t: 42.000000	: 13072.855624	vx: 8524.978757	vy: 234.129209
t: 42.500000	: 13189.920228	vx: 8503.025289	vy: 233.013767
t: 43.000000	: 13306.427112	vx: 8478.723912	vy: 231.904488
t: 43.500000	: 13422.379356	vx: 8452.085724	vy: 230.800876
t: 44.000000	: 13537.779794	vx: 8423.121804	vy: 229.702451
t: 44.500000	: 13652.631019	vx: 8391.843229	vy: 228.608753
t: 45.000000	: 13766.935396	vx: 8358.261083	vy: 227.519336
t: 45.500000	: 13880.695064	vx: 8322.386469	vy: 226.433776
t: 46.000000	: 13993.911952	vx: 8284.230524	vy: 225.351662
t: 46.500000	: 14106.587783	vx: 8243.804424	vy: 224.272602
t: 47.000000	: 14218.724083	vx: 8201.119398	vy: 223.196222
t: 47.500000	: 14330.322194	vx: 8156.186736	vy: 222.122165
t: 48.000000	: 14441.383277	vx: 8109.017796	vy: 221.050091
t: 48.500000	: 14551.908322	vx: 8059.624019	vy: 219.979678
t: 49.000000	: 14661.898161	vx: 8008.016925	vy: 218.910620
t: 49.500000	: 14771.353471	vx: 7954.208132	vy: 217.842628
t: 50.000000	: 14880.274785	vx: 7898.209354	vy: 216.775432
t: 50.500000	: 14988.662501	vx: 7840.032410	vy: 215.708775
t: 51.000000	: 15096.516888	vx: 7779.689229	vy: 214.642419
t: 51.500000	: 15203.838098	vx: 7717.191855	vy: 213.576140
t: 52.000000	: 15310.626168	vx: 7652.552449	vy: 212.509732
t: 52.500000	: 15416.881033	vx: 7585.783295	vy: 211.443002
t: 53.000000	: 15522.602534	vx: 7516.896799	vy: 210.375773
t: 53.500000	: 15627.790421	vx: 7445.905499	vy: 209.307884
t: 54.000000	: 15732.444363	vx: 7372.822058	vy: 208.239187
t: 54.500000	: 15836.563957	vx: 7297.659270	vy: 207.169548
t: 55.000000	: 15940.148731	vx: 7220.430063	vy: 206.098848
t: 55.500000	: 16043.198155	vx: 7141.147495	vy: 205.026978
t: 56.000000	: 16145.711644	vx: 7059.824756	vy: 203.953845
t: 56.500000	: 16247.688567	vx: 6976.475168	vy: 202.879368
t: 57.000000	: 16349.128251	vx: 6891.112186	vy: 201.803477
