t: 0.000000	: 0.000000	vx: 0.000000	vy: 606.217783
t: 0.500000	: 303.108891	vx: 175.000000	vy: 597.730734
t: 1.000000	: 601.974258	vx: 345.097500	vy: 589.586536
t: 1.500000	: 896.767526	vx: 510.424888	vy: 581.763762
t: 2.000000	: 1187.649407	vx: 671.106174	vy: 574.242731
t: 2.500000	: 1474.770773	vx: 827.257674	vy: 567.005331
t: 3.000000	: 1758.273438	vx: 978.988638	vy: 560.034863
t: 3.500000	: 2038.290869	vx: 1126.401801	vy: 553.315904
t: 4.000000	: 2314.948821	vx: 1269.593889	vy: 546.834187
t: 4.500000	: 2588.365915	vx: 1408.656081	vy: 540.576488
t: 5.000000	: 2858.654159	vx: 1543.674413	vy: 534.530537
t: 5.500000	: 3125.919428	vx: 1674.730165	vy: 528.684927
t: 6.000000	: 3390.261891	vx: 1801.900195	vy: 523.029038
t: 6.500000	: 3651.776410	vx: 1925.257256	vy: 517.552973
t: 7.000000	: 3910.552897	vx: 2044.870280	vy: 512.247493
t: 7.500000	: 4166.676643	vx: 2160.804641	vy: 507.103962
t: 8.000000	: 4420.228624	vx: 2273.122392	vy: 502.114297
t: 8.500000	: 4671.285773	vx: 2381.882489	vy: 497.270926
t: 9.000000	: 4919.921236	vx: 2487.140992	vy: 492.566746
t: 9.500000	: 5166.204609	vx: 2588.951250	vy: 487.995082
t: 10.000000	: 5410.202150	vx: 2687.364075	vy: 483.549662
t: 10.500000	: 5651.976981	vx: 2782.427903	vy: 479.224580
t: 11.000000	: 5891.589271	vx: 2874.188938	vy: 475.014271
t: 11.500000	: 6129.096406	vx: 2962.691291	vy: 470.913486
t: 12.000000	: 6364.553149	vx: 3047.977106	vy: 466.917269
t: 12.500000	: 6598.011784	vx: 3130.086677	vy: 463.020934
t: 13.000000	: 6829.522251	vx: 3209.058559	vy: 459.220051
t: 13.500000	: 7059.132276	vx: 3284.929671	vy: 455.510422
t: 14.000000	: 7286.887487	vx: 3357.735387	vy: 451.888069
t: 14.500000	: 7512.831522	vx: 3427.509632	vy: 448.349219
t: 15.000000	: 7737.006132	vx: 3494.284956	vy: 444.890289
t: 15.500000	: 7959.451276	vx: 3558.092621	vy: 441.507872
t: 16.000000	: 8180.205212	vx: 3618.962669	vy: 438.198731
t: 16.500000	: 8399.304577	vx: 3676.923990	vy: 434.959782
t: 17.000000	: 8616.784468	vx: 3732.004390	vy: 431.788088
t: 17.500000	: 8832.678512	vx: 3784.230647	vy: 428.680849
t: 18.000000	: 9047.018937	vx: 3833.628574	vy: 425.635392
t: 18.500000	: 9259.836633	vx: 3880.223065	vy: 422.649167
t: 19.000000	: 9471.161216	vx: 3924.038152	vy: 419.719733
t: 19.500000	: 9681.021083	vx: 3965.097052	vy: 416.844760
t: 20.000000	: 9889.443463	vx: 4003.422209	vy: 414.022016
t: 20.500000	: 10096.454471	vx: 4039.035339	vy: 411.249364
t: 21.000000	: 10302.079153	vx: 4071.957473	vy: 408.524755
t: 21.500000	: 10506.341531	vx: 4102.208992	vy: 405.846225
t: 22.000000	: 10709.264643	vx: 4129.809663	vy: 403.211890
t: 22.500000	: 10910.870588	vx: 4154.778680	vy: 400.619938
t: 23.000000	: 11111.180557	vx: 4177.134689	vy: 398.068632
t: 23.500000	: 11310.214873	vx: 4196.895826	vy: 395.556299
t: 24.000000	: 11507.993023	vx: 4214.079745	vy: 393.081330
t: 24.500000	: 11704.533688	vx: 4228.703645	vy: 390.642177
t: 25.000000	: 11899.854776	vx: 4240.784300	vy: 388.237349
t: 25.500000	: 12093.973451	vx: 4250.338086	vy: 385.865410
t: 26.000000	: 12286.906156	vx: 4257.381003	vy: 383.524972
t: 26.500000	: 12478.668642	vx: 4261.928702	vy: 381.214700
t: 27.000000	: 12669.275992	vx: 4263.996507	vy: 378.933304
t: 27.500000	: 12858.742644	vx: 4263.599436	vy: 376.679538
t: 28.000000	: 13047.082413	vx: 4260.752227	vy: 374.452200
t: 28.500000	: 13234.308513	vx: 4255.469354	vy: 372.250126
t: 29.000000	: 13420.433576	vx: 4247.765049	vy: 370.072192
t: 29.500000	: 13605.469672	vx: 4237.653319	vy: 367.917311
t: 30.000000	: 13789.428327	vx: 4225.147968	vy: 365.784431
t: 30.500000	: 13972.320542	vx: 4210.262614	vy: 363.672533
t: 31.000000	: 14154.156809	vx: 4193.010701	vy: 361.580633
t: 31.500000	: 14334.947126	vx: 4173.405524	vy: 359.507775
t: 32.000000	: 14514.701013	vx: 4151.460239	vy: 357.453035
t: 32.500000	: 14693.427531	vx: 4127.187881	vy: 355.415516
t: 33.000000	: 14871.135289	vx: 4100.601377	vy: 353.394350
t: 33.500000	: 15047.832464	vx: 4071.713565	vy: 351.388697
t: 34.000000	: 15223.526812	vx: 4040.537203	vy: 349.397739
t: 34.500000	: 15398.225681	vx: 4007.084985	vy: 347.420685
t: 35.000000	: 15571.936024	vx: 3971.369555	vy: 345.456770
t: 35.500000	: 15744.664409	vx: 3933.403519	vy: 343.505248
t: 36.000000	: 15916.417033	vx: 3893.199457	vy: 341.565400
t: 36.500000	: 16087.199733	vx: 3850.769936	vy: 339.636525
t: 37.000000	: 16257.017996	vx: 3806.127522	vy: 337.717947
t: 37.500000	: 16425.876969	vx: 3759.284788	vy: 335.809006
t: 38.000000	: 16593.781472	vx: 3710.254332	vy: 333.909067
t: 38.500000	: 16760.736006	vx: 3659.048780	vy: 332.017512
t: 39.000000	: 16926.744762	vx: 3605.680802	vy: 330.133743
t: 39.500000	: 17091.811633	vx: 3550.163117	vy: 328.257179
t: 40.000000	: 17255.940223	vx: 3492.508510	vy: 326.387259
t: 40.500000	: 17419.133853	vx: 3432.729832	vy: 324.523441
t: 41.000000	: 17581.395573	vx: 3370.840017	vy: 322.665196
t: 41.500000	: 17742.728171	vx: 3306.852088	vy: 320.812018
t: 42.000000	: 17903.134180	vx: 3240.779164	vy: 318.963413
t: 42.500000	: 18062.615886	vx: 3172.634470	vy: 317.118906
t: 43.000000	: 18221.175339	vx: 3102.431344	vy: 315.278037
t: 43.500000	: 18378.814358	vx: 3030.183246	vy: 313.440365
t: 44.000000	: 18535.534540	vx: 2955.903763	vy: 311.605460
t: 44.500000	: 18691.337270	vx: 2879.606617	vy: 309.772911
t: 45.000000	: 18846.223726	vx: 2801.305675	vy: 307.942322
