i: 0	t: 0.000000	in: 0.982287	or: 3.422625	oi: 0.000000
i: 1	t: 0.000033	in: 0.907688	or: 3.425085	oi: 0.083699
i: 2	t: 0.000067	in: 0.764154	or: 3.432467	oi: 0.167808
i: 3	t: 0.000100	in: 0.562587	or: 3.444848	oi: 0.252730
i: 4	t: 0.000133	in: 0.318295	or: 3.462360	oi: 0.338886
i: 5	t: 0.000167	in: 0.049830	or: 3.485169	oi: 0.426729
i: 6	t: 0.000200	in: -0.222420	or: 3.513520	oi: 0.516729
i: 7	t: 0.000233	in: -0.477778	or: 3.547695	oi: 0.609393
i: 8	t: 0.000267	in: -0.696851	or: 3.588063	oi: 0.705305
i: 9	t: 0.000300	in: -0.863002	or: 3.635090	oi: 0.805026
i: 10	t: 0.000333	in: -0.963613	or: 3.689301	oi: 0.909314
i: 11	t: 0.000367	in: -0.991042	or: 3.751366	oi: 1.018913
i: 12	t: 0.000400	in: -0.943208	or: 3.822086	oi: 1.134757
i: 13	t: 0.000433	in: -0.823741	or: 3.902369	oi: 1.257886
i: 14	t: 0.000467	in: -0.641716	or: 3.993431	oi: 1.389508
i: 15	t: 0.000500	in: -0.410956	or: 4.096615	oi: 1.531115
i: 16	t: 0.000533	in: -0.148986	or: 4.213667	oi: 1.684423
i: 17	t: 0.000567	in: 0.124299	or: 4.346652	oi: 1.851551
i: 18	t: 0.000600	in: 0.388144	or: 4.498189	oi: 2.035103
i: 19	t: 0.000633	in: 0.622511	or: 4.671521	oi: 2.238249
i: 20	t: 0.000667	in: 0.809602	or: 4.870754	oi: 2.465079
i: 21	t: 0.000700	in: 0.935208	or: 5.101204	oi: 2.720725
i: 22	t: 0.000733	in: 0.989790	or: 5.369807	oi: 3.011944
i: 23	t: 0.000767	in: 0.969203	or: 5.685717	oi: 3.347653
i: 24	t: 0.000800	in: 0.875010	or: 6.061472	oi: 3.739906
i: 25	t: 0.000833	in: 0.714364	or: 6.514444	oi: 4.205544
i: 26	t: 0.000867	in: 0.499467	or: 7.069647	oi: 4.768700
i: 27	t: 0.000900	in: 0.246637	or: 7.764293	oi: 5.465217
i: 28	t: 0.000933	in: -0.024923	or: 8.656214	oi: 6.350863
i: 29	t: 0.000967	in: -0.294590	or: 9.840660	oi: 7.517405
i: 30	t: 0.001000	in: -0.541885	or: 11.486157	oi: 9.127161
i: 31	t: 0.001033	in: -0.748027	or: 13.921673	oi: 11.496952
i: 32	t: 0.001067	in: -0.897360	or: 17.887519	oi: 15.339731
i: 33	t: 0.001100	in: -0.978543	or: 25.469944	oi: 22.664615
i: 34	t: 0.001133	in: -0.985411	or: 45.709527	oi: 42.177680
i: 35	t: 0.001167	in: -0.917443	or: 268.457693	oi: 256.705782
i: 36	t: 0.001200	in: -0.779799	or: -65.692388	oi: -65.059427
i: 37	t: 0.001233	in: -0.582934	or: -28.576019	oi: -29.295816
i: 38	t: 0.001267	in: -0.341798	or: -17.978486	oi: -19.070396
i: 39	t: 0.001300	in: -0.074705	or: -12.963660	oi: -14.221617
i: 40	t: 0.001333	in: 0.198062	or: -10.042190	oi: -11.389251
i: 41	t: 0.001367	in: 0.455787	or: -8.131188	oi: -9.530440
i: 42	t: 0.001400	in: 0.678898	or: -6.784738	oi: -8.215769
i: 43	t: 0.001433	in: 0.850450	or: -5.785630	oi: -7.236037
i: 44	t: 0.001467	in: 0.957415	or: -5.015387	oi: -6.477130
i: 45	t: 0.001500	in: 0.991669	or: -4.403888	oi: -5.871489
i: 46	t: 0.001533	in: 0.950611	or: -3.906959	oi: -5.376617
i: 47	t: 0.001567	in: 0.837360	or: -3.495471	oi: -4.964373
i: 48	t: 0.001600	in: 0.660515	or: -3.149331	oi: -4.615444
i: 49	t: 0.001633	in: 0.433508	or: -2.854315	oi: -4.316095
i: 50	t: 0.001667	in: 0.173578	or: -2.600009	oi: -4.056322
i: 51	t: 0.001700	in: -0.099534	or: -2.378664	oi: -3.828590
i: 52	t: 0.001733	in: -0.365087	or: -2.184368	oi: -3.627254
i: 53	t: 0.001767	in: -0.602913	or: -2.012556	oi: -3.447855
i: 54	t: 0.001800	in: -0.794952	or: -1.859587	oi: -3.286921
i: 55	t: 0.001833	in: -0.926618	or: -1.722619	oi: -3.141683
i: 56	t: 0.001867	in: -0.987913	or: -1.599299	oi: -3.009868
i: 57	t: 0.001900	in: -0.974180	or: -1.487779	oi: -2.889688
i: 58	t: 0.001933	in: -0.886464	or: -1.386428	oi: -2.779565
i: 59	t: 0.001967	in: -0.731426	or: -1.293998	oi: -2.678290
i: 60	t: 0.002000	in: -0.520840	or: -1.209399	oi: -2.584793
i: 61	t: 0.002033	in: -0.270699	or: -1.131685	oi: -2.498165
i: 62	t: 0.002067	in: 0.000000	or: -1.060101	oi: -2.417645
i: 63	t: 0.002100	in: 0.270700	or: -0.993945	oi: -2.342618
i: 64	t: 0.002133	in: 0.520841	or: -0.932667	oi: -2.272495
