i: 0	t: 0.000000	in: 1.933344	or: 3.422669	oi: 0.000000
i: 1	t: 0.000033	in: 1.798986	or: 3.425089	oi: 0.083704
i: 2	t: 0.000067	in: 1.539690	or: 3.432495	oi: 0.167810
i: 3	t: 0.000100	in: 1.173632	or: 3.444880	oi: 0.252725
i: 4	t: 0.000133	in: 0.726453	or: 3.462386	oi: 0.338878
i: 5	t: 0.000167	in: 0.229456	or: 3.485200	oi: 0.426729
i: 6	t: 0.000200	in: -0.282612	or: 3.513541	oi: 0.516731
i: 7	t: 0.000233	in: -0.774006	or: 3.547724	oi: 0.609400
i: 8	t: 0.000267	in: -1.210503	or: 3.588100	oi: 0.705291
i: 9	t: 0.000300	in: -1.561803	or: 3.635125	oi: 0.805024
i: 10	t: 0.000333	in: -1.803654	or: 3.689336	oi: 0.909314
i: 11	t: 0.000367	in: -1.919541	or: 3.751399	oi: 1.018925
i: 12	t: 0.000400	in: -1.901823	or: 3.822108	oi: 1.134759
i: 13	t: 0.000433	in: -1.752240	or: 3.902397	oi: 1.257881
i: 14	t: 0.000467	in: -1.481757	or: 3.993458	oi: 1.389510
i: 15	t: 0.000500	in: -1.109756	or: 4.096644	oi: 1.531120
i: 16	t: 0.000533	in: -0.662637	or: 4.213708	oi: 1.684434
i: 17	t: 0.000567	in: -0.171929	or: 4.346691	oi: 1.851557
i: 18	t: 0.000600	in: 0.327952	or: 4.498218	oi: 2.035090
i: 19	t: 0.000633	in: 0.802138	or: 4.671545	oi: 2.238244
i: 20	t: 0.000667	in: 1.217761	or: 4.870792	oi: 2.465079
i: 21	t: 0.000700	in: 1.546253	or: 5.101253	oi: 2.720732
i: 22	t: 0.000733	in: 1.765326	or: 5.369847	oi: 3.011957
i: 23	t: 0.000767	in: 1.860501	or: 5.685776	oi: 3.347649
i: 24	t: 0.000800	in: 1.826066	or: 6.061527	oi: 3.739912
i: 25	t: 0.000833	in: 1.665421	or: 6.514512	oi: 4.205558
i: 26	t: 0.000867	in: 1.390765	or: 7.069725	oi: 4.768712
i: 27	t: 0.000900	in: 1.022173	or: 7.764359	oi: 5.465227
i: 28	t: 0.000933	in: 0.586121	or: 8.656306	oi: 6.350876
i: 29	t: 0.000967	in: 0.113568	or: 9.840791	oi: 7.517423
i: 30	t: 0.001000	in: -0.362259	or: 11.486340	oi: 9.127184
i: 31	t: 0.001033	in: -0.808219	or: 13.922049	oi: 11.497011
i: 32	t: 0.001067	in: -1.193588	or: 398.309972	oi: 63.399476
i: 33	t: 0.001100	in: -1.492195	or: 25.469583	oi: 22.664559
i: 34	t: 0.001133	in: -1.684212	or: 45.709347	oi: 42.177654
i: 35	t: 0.001167	in: -1.757484	or: 268.457573	oi: 256.705768
i: 36	t: 0.001200	in: -1.708298	or: -65.692479	oi: -65.059450
i: 37	t: 0.001233	in: -1.541550	or: -28.576080	oi: -29.295830
i: 38	t: 0.001267	in: -1.270297	or: -17.978549	oi: -19.070392
i: 39	t: 0.001300	in: -0.914746	or: -12.963717	oi: -14.221623
i: 40	t: 0.001333	in: -0.500738	or: -10.042229	oi: -11.389258
i: 41	t: 0.001367	in: -0.057864	or: -8.131218	oi: -9.530439
i: 42	t: 0.001400	in: 0.382670	or: -6.784753	oi: -8.215771
i: 43	t: 0.001433	in: 0.790258	or: -5.785648	oi: -7.236038
i: 44	t: 0.001467	in: 1.137041	or: -5.015406	oi: -6.477115
i: 45	t: 0.001500	in: 1.399828	or: -4.403904	oi: -5.871498
i: 46	t: 0.001533	in: 1.561656	or: -3.906997	oi: -5.376610
i: 47	t: 0.001567	in: 1.612896	or: -3.495500	oi: -4.964390
i: 48	t: 0.001600	in: 1.551813	or: -3.149351	oi: -4.615448
i: 49	t: 0.001633	in: 1.384565	or: -2.854324	oi: -4.316106
i: 50	t: 0.001667	in: 1.124635	or: -2.600006	oi: -4.056324
i: 51	t: 0.001700	in: 0.791764	or: -2.378681	oi: -3.828595
i: 52	t: 0.001733	in: 0.410449	or: -2.184375	oi: -3.627251
i: 53	t: 0.001767	in: 0.008131	or: -2.012561	oi: -3.447864
i: 54	t: 0.001800	in: -0.386794	or: -1.859601	oi: -3.286929
i: 55	t: 0.001833	in: -0.746992	or: -1.722624	oi: -3.141699
i: 56	t: 0.001867	in: -1.048105	or: -1.599304	oi: -3.009883
i: 57	t: 0.001900	in: -1.270409	or: -1.487773	oi: -2.889675
i: 58	t: 0.001933	in: -1.400117	or: -1.386434	oi: -2.779560
i: 59	t: 0.001967	in: -1.430227	or: -1.294011	oi: -2.678287
i: 60	t: 0.002000	in: -1.360881	or: -1.209414	oi: -2.584778
i: 61	t: 0.002033	in: -1.199198	or: -1.131686	oi: -2.498162
i: 62	t: 0.002067	in: -0.958615	or: -1.060100	oi: -2.417666
i: 63	t: 0.002100	in: -0.657799	or: -0.993948	oi: -2.342618
i: 64	t: 0.002133	in: -0.319200	or: -0.932682	oi: -2.272500
i: 65	t: 0.002167	in: 0.032627	or: -0.875761	oi: -2.206783
i: 66	t: 0.002200	in: 0.372813	or: -0.822786	oi: -2.145080
i: 67	t: 0.002233	in: 0.677953	or: -0.773391	oi: -2.086990
i: 68	t: 0.002267	in: 0.927721	or: -0.727210	oi: -2.032215
i: 69	t: 0.002300	in: 1.106245	or: -0.683964	oi: -1.980449
i: 70	t: 0.002333	in: 1.203111	or: -0.643397	oi: -1.931448
i: 71	t: 0.002367	in: 1.213958	or: -0.605284	oi: -1.884975
i: 72	t: 0.002400	in: 1.140623	or: -0.569404	oi: -1.840833
i: 73	t: 0.002433	in: 0.990831	or: -0.535587	oi: -1.798835
i: 74	t: 0.002467	in: 0.777477	or: -0.503677	oi: -1.758846
i: 75	t: 0.002500	in: 0.517548	or: -0.473504	oi: -1.720676
i: 76	t: 0.002533	in: 0.230782	or: -0.444940	oi: -1.684240
i: 77	t: 0.002567	in: -0.061824	or: -0.417897	oi: -1.649378
i: 78	t: 0.002600	in: -0.339567	or: -0.392222	oi: -1.616005
i: 79	t: 0.002633	in: -0.583511	or: -0.367852	oi: -1.584012
i: 80	t: 0.002667	in: -0.777788	or: -0.344665	oi: -1.553327
i: 81	t: 0.002700	in: -0.910642	or: -0.322624	oi: -1.523840
i: 82	t: 0.002733	in: -0.975126	or: -0.301623	oi: -1.495504
i: 83	t: 0.002767	in: -0.969439	or: -0.281597	oi: -1.468219
i: 84	t: 0.002800	in: -0.896862	or: -0.262482	oi: -1.441955
i: 85	t: 0.002833	in: -0.765336	or: -0.244221	oi: -1.416622
i: 86	t: 0.002867	in: -0.586700	or: -0.226776	oi: -1.392215
i: 87	t: 0.002900	in: -0.375681	or: -0.210080	oi: -1.368610
i: 88	t: 0.002933	in: -0.148699	or: -0.194094	oi: -1.345825
i: 89	t: 0.002967	in: 0.077402	or: -0.178774	oi: -1.323806
i: 90	t: 0.003000	in: 0.286611	or: -0.164093	oi: -1.302478
i: 91	t: 0.003033	in: 0.464892	or: -0.150018	oi: -1.281831
i: 92	t: 0.003067	in: 0.601132	or: -0.136476	oi: -1.261858
i: 93	t: 0.003100	in: 0.687835	or: -0.123473	oi: -1.242458
i: 94	t: 0.003133	in: 0.721512	or: -0.110990	oi: -1.223653
i: 95	t: 0.003167	in: 0.702749	or: -0.098969	oi: -1.205410
i: 96	t: 0.003200	in: 0.635967	or: -0.087414	oi: -1.187689
i: 97	t: 0.003233	in: 0.528899	or: -0.076275	oi: -1.170468
i: 98	t: 0.003267	in: 0.391831	or: -0.065547	oi: -1.153733
i: 99	t: 0.003300	in: 0.236692	or: -0.055200	oi: -1.137460
i: 100	t: 0.003333	in: 0.076046	or: -0.045234	oi: -1.121621
i: 101	t: 0.003367	in: -0.077905	or: -0.035612	oi: -1.106194
i: 102	t: 0.003400	in: -0.214254	or: -0.026336	oi: -1.091184
i: 103	t: 0.003433	in: -0.324164	or: -0.017352	oi: -1.076554
i: 104	t: 0.003467	in: -0.401444	or: -0.008680	oi: -1.062291
i: 105	t: 0.003500	in: -0.442885	or: -0.000301	oi: -1.048380
i: 106	t: 0.003533	in: -0.448336	or: 0.007794	oi: -1.034806
i: 107	t: 0.003567	in: -0.420527	or: 0.015641	oi: -1.021573
i: 108	t: 0.003600	in: -0.364666	or: 0.023222	oi: -1.008639
i: 109	t: 0.003633	in: -0.287845	or: 0.030569	oi: -0.996010
i: 110	t: 0.003667	in: -0.198325	or: 0.037689	oi: -0.983666
i: 111	t: 0.003700	in: -0.104758	or: 0.044590	oi: -0.971615
i: 112	t: 0.003733	in: -0.015408	or: 0.051291	oi: -0.959821
i: 113	t: 0.003767	in: 0.062544	or: 0.057758	oi: -0.948290
i: 114	t: 0.003800	in: 0.123572	or: 0.064045	oi: -0.937012
i: 115	t: 0.003833	in: 0.164202	or: 0.070145	oi: -0.925977
i: 116	t: 0.003867	in: 0.183199	or: 0.076071	oi: -0.915173
i: 117	t: 0.003900	in: 0.181549	or: 0.081819	oi: -0.904582
i: 118	t: 0.003933	in: 0.162228	or: 0.087409	oi: -0.894226
i: 119	t: 0.003967	in: 0.129797	or: 0.092834	oi: -0.884067
i: 120	t: 0.004000	in: 0.089864	or: 0.098106	oi: -0.874115
i: 121	t: 0.004033	in: 0.048457	or: 0.103238	oi: -0.864356
i: 122	t: 0.004067	in: 0.011382	or: 0.108214	oi: -0.854790
i: 123	t: 0.004100	in: -0.016390	or: 0.113069	oi: -0.845406
i: 124	t: 0.004133	in: -0.031231	or: 0.117784	oi: -0.836210
i: 125	t: 0.004167	in: -0.031231	or: 0.122385	oi: -0.827174
i: 126	t: 0.004200	in: -0.016390	or: 0.126851	oi: -0.818311
i: 127	t: 0.004233	in: 0.011382	or: 0.131215	oi: -0.809609
i: 128	t: 0.004267	in: 0.048457	or: 0.135429	oi: -0.801058
i: 129	t: 0.004300	in: 0.089864	or: 0.139572	oi: -0.792662
i: 130	t: 0.004333	in: 0.129797	or: 0.143593	oi: -0.784411
